x,y,Position
-24.023378,-10.072069,Analista Jr. Data Scientist
18.72886,-14.503831,Coordinador de expedición
-21.605257,-20.939833,Data Scientist
-13.433577,24.549381,R/Shiny Developer 
3.8637629,-7.672413,Economista
-30.930042,-10.121086,Data Engineer
-23.88138,-2.7821357,Data Analyst & Managment Control
-14.696925,-22.007875,Data Analyst
12.953805,9.183088,Científico de datos
-11.138055,17.217346,Professor
14.612609,-1.3557234,Estudiante
-24.305964,2.750165,Business Intelligence - Data visualization
-13.418836,24.468504,React Developer
-30.066141,-11.063181,Data Engineer
-11.9990225,0.16028862,Customer Support Professional
-29.990553,-6.2125626,Jr. Data Engineer
-24.862299,-10.95922,Sr. Data Scientist
-18.180807,-3.0298784,Business Analyst - Corporates
-23.453588,0.84491205,Business Process Analyst
11.506414,-23.304937,Jefe Administrativo de Obra
18.892889,-23.940561,Analista de datos
22.91898,-7.9730344,Contador público certificado
10.795877,13.969884,Pasante BI
7.4654875,18.315512,Varios
-1.7929641,-9.599391,Analista business BI
-4.0054526,26.982664,Event Validator
4.290514,-8.621741,Analista BI
-31.280107,5.6818476,Machine Learning Engineer
-0.3477763,-19.597391,Fundador - Manager
-21.419346,17.049807,Software QA Tester
3.853385,-9.067354,Analista Power BI
-31.173128,6.65302,Machine learning engineer
-31.616053,10.751594,Machine learning engineer
-23.132711,-21.194807,Data Scientist
-31.60597,11.5061245,Machine Learning Engineer
-28.92246,2.1490183,Data Science Jr
-25.154606,-8.66688,Technical Sourcer Data Researcher 
-30.820879,-13.7209835,Data Engineer
7.267615,-23.063889,Administrativo
-2.636733,-9.986799,Especialista BI & Analytics
-37.058704,-10.4969,Data Engineer
-12.659502,-19.704775,Data-analyst
6.568933,7.6562033,barista/cajero
16.556463,5.7745585,Analista de Control de Gestión
-23.579391,-20.409227,Data Scientist
-22.3939,-13.882478,Senior Data Scientist
-21.047903,-5.622176,Business Intelligence Associate
-8.296474,21.560804,Key User SAP - MM
-14.738016,-22.009,Data Analyst
-14.67823,-22.006006,Data Analyst
-20.241896,23.398624,Data Visualization 
-32.196686,-13.574836,Data Engineer
16.038836,3.659851,Mantenimiento de PC
-31.275732,-13.642478,Data Engineer 
-29.086866,4.8318753,Machine Learning Teacher
13.13899,-13.415706,Profesora Auxiliar de Metodología de la Investigación y Estadística
-1.3347583,-10.208243,Business Analytics - Innovación & Omnicanalidad
-29.211187,-6.8693566,Jr Data Engineer
-32.88908,-13.266834,Data Engineer
7.249416,9.370823,Desarrollador web
-4.5601625,13.754408,Communication and Strategy
-25.665619,-1.2922299,Business Intelligence Intern
9.063737,14.305259,Vendedor
21.895906,-12.695318,Profesor de Matemáticas
-25.968533,5.2006965,Data Management Manager
3.1951,-11.157254,Consultora BI
20.239397,-17.904802,Docente de Prácticos - Análisis Estadístico
-28.128656,-1.4041923,Data Engineer | Senior Technician
-23.334402,-20.236721,Data Scientist
-32.876015,-13.946484,Data Engineer
-2.6835322,-16.45581,Consultor BI
-14.80581,-13.425065,Head of data & analytics
-31.67342,-13.70908,Data Engineer
-23.349617,-20.223236,Data Scientist
-29.614353,-6.889198,Data Engineer JR
-22.685839,-7.8356285,"Data Scientist, Product Insights"
-19.34842,23.135426,BI Data Regional 
4.290514,-8.621741,Analista BI
-10.265949,11.261239,Bussines Intelligence Consultant | Client YPF
-29.07108,-9.833083,Data Developer
-32.366467,11.759054,Machine Learning Engineer
5.8044295,-19.732489,Supervisor de Calidad Prestacional
-14.726499,-22.0096,Data Analyst
4.290514,-8.621741,Analista BI
-30.136705,-6.1950936,Junior Data Engineer
7.8792887,-20.02362,Desarrollador de ETL
-23.584751,-20.399002,Data Scientist
16.557055,5.774126,Analista de Control de Gestion
-24.19929,-7.15999,Data Consultant
-29.071074,-9.833063,Data Developer
0.882857,-13.882382,Desarrollador de front-end
-32.557995,-6.405734,Senior Data Engineer
9.205873,14.890938,Divulgadora
18.80711,-22.647785,Ingeniero de datos
-21.684534,-5.5015807,Associate Data Analyst - Business Intelligence
-24.939137,2.249005,Especialista BI & Analytics SSR
-6.7361674,18.68499,Partner 
-24.657322,-10.186154,Sr Data Scientist 
-30.981983,-2.8568468,Data Analyst trainee
12.947765,9.111637,Periodista de datos
1.6094625,16.453163,CEO - Founder
-2.7465115,-10.144535,Especialista Data Analytics BI
-24.901936,3.138199,Ssr Data Analyst
18.223232,-19.632225,Analista de fraude
8.441651,4.5202594,Ingenieria en sistemas de la informacion UTN-FRC
-14.252567,1.1549611,Consultant
-10.507584,12.291001,Consultor BI - Freelance
-28.057533,3.646789,Data Driven Developer Experto
12.95369,9.183162,Científico de datos
0.73535067,-7.832251,Lider de BigData y Analytica
-17.885248,-5.4081097,Business Analyst
-14.685795,-22.007036,Data Analyst
-20.544724,-11.840585,Lead Data Scientist
-23.586203,-20.400692,Data Scientist
-18.631035,-3.3408718,Commercial management analyst
10.364657,-2.1039755,Gerente de planificación y análisis financiero
-14.80581,-13.425065,Head of Data & Analytics
-3.2381115,-25.105661,Director de RR. HH.
-17.09071,19.838282,P2P Accountant
-37.070545,-14.428167,Data Engineer
-15.146077,13.92627,PHD Student
5.9359326,-13.722977,Consultor de Procesos SSr.
-14.683319,-22.00673,Data Analyst
-1.1358256,22.589012,Coordinador & Analista Técnico en Videoconferencias - YPF
-0.3046552,-8.048334,Tutor de Data Science
-16.518,-4.118588,Financial Analyst
-22.74133,-0.03929119,BI Analytics  & Consultant
-18.87057,-11.064219,Data Science Leader
-20.508669,-6.121684,BI & Analytics Specialist
3.8872564,-8.359179,Analist BI
-16.761583,-9.662782,Data Governance Coordinator
